Expected Points For Each Team Taking the Team With the Highest Overall Chance Each Round, Eliminating All Others That Cannot Continue
+-------------------+-------------+----------+---------+---------+--------------+--------+---------+
|        Team       | Round of 32 | Sweet 16 | Elite 8 | Final 4 | Championship | Winner |  Total  |
+-------------------+-------------+----------+---------+---------+--------------+--------+---------+
|       Auburn      |    9.746    |  13.772  |  20.352 |  30.106 |    43.432    | 58.882 | 176.290 |
|      Alabama      |    9.229    |  13.131  |  17.460 |  24.955 |    31.428    | 0.000  |  96.203 |
|      Florida      |    9.193    |  12.664  |  16.644 |  22.745 |    0.000     | 0.000  |  61.246 |
|        Duke       |    9.270    |  12.184  |  16.434 |  18.714 |    0.000     | 0.000  |  56.602 |
|     Tennessee     |    8.527    |  12.403  |  14.889 |  0.000  |    0.000     | 0.000  |  35.819 |
|     Iowa State    |    9.175    |  11.669  |  13.459 |  0.000  |    0.000     | 0.000  |  34.303 |
|        TAMU       |    8.286    |  10.814  |  12.739 |  0.000  |    0.000     | 0.000  |  31.838 |
|     Marquette     |    8.403    |  10.124  |  10.391 |  0.000  |    0.000     | 0.000  |  28.918 |
|       Purdue      |    8.379    |  12.210  |  0.000  |  0.000  |    0.000     | 0.000  |  20.589 |
|      Michigan     |    7.572    |  10.534  |  0.000  |  0.000  |    0.000     | 0.000  |  18.106 |
|      Houston      |    8.840    |  9.902   |  0.000  |  0.000  |    0.000     | 0.000  |  18.742 |
| Mississippi State |    7.807    |  9.852   |  0.000  |  0.000  |    0.000     | 0.000  |  17.658 |
|      Memphis      |    7.093    |  8.372   |  0.000  |  0.000  |    0.000     | 0.000  |  15.465 |
|       Kansas      |    8.221    |  7.542   |  0.000  |  0.000  |    0.000     | 0.000  |  15.764 |
|     Utah State    |    5.585    |  7.201   |  0.000  |  0.000  |    0.000     | 0.000  |  12.786 |
|     Wisconsin     |    6.047    |  7.134   |  0.000  |  0.000  |    0.000     | 0.000  |  13.181 |
|       Oregon      |    7.187    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  7.187  |
|      Gonzaga      |    7.161    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  7.161  |
|   Michigan State  |    7.069    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  7.069  |
|      Kentucky     |    6.535    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  6.535  |
|      Arizona      |    6.140    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  6.140  |
|      Illinois     |    5.962    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  5.962  |
|       UConn       |    5.948    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  5.948  |
|    Saint John's   |    5.835    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  5.835  |
|      Ole Miss     |    5.827    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  5.827  |
|     UC-Irvine     |    5.697    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  5.697  |
|     Louisville    |    5.645    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  5.645  |
|  San Diego State  |    5.565    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  5.565  |
|     Texas Tech    |    5.551    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  5.551  |
|      Georgia      |    5.513    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  5.513  |
|    Saint Mary's   |    5.485    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  5.485  |
|      Nebraska     |    5.098    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  5.098  |
|        Yale       |    0.000    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.000  |
|  William and Mary |    0.000    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.000  |
|   West Virginia   |    0.000    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.000  |
|    Utah Valley    |    0.000    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.000  |
|        UCLA       |    0.000    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.000  |
|      Southern     |    0.000    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.000  |
|      Samford      |    0.000    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.000  |
|    Saint Louis    |    0.000    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.000  |
|        Pitt       |    0.000    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.000  |
|    Old Dominion   |    0.000    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.000  |
|      Oklahoma     |    0.000    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.000  |
|     Ohio State    |    0.000    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.000  |
| Northern Colorado |    0.000    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.000  |
|   North Carolina  |    0.000    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.000  |
|  New Mexico State |    0.000    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.000  |
|     New Mexico    |    0.000    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.000  |
|   Nebraska-Omaha  |    0.000    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.000  |
|   Morehead State  |    0.000    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.000  |
|      Missouri     |    0.000    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.000  |
|   McNeese State   |    0.000    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.000  |
|      Maryland     |    0.000    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.000  |
|       Marist      |    0.000    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.000  |
|    Long Island    |    0.000    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.000  |
|      Lipscomb     |    0.000    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.000  |
|        Iowa       |    0.000    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.000  |
|       Howard      |    0.000    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.000  |
|     High Point    |    0.000    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.000  |
|       Dayton      |    0.000    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.000  |
|     Creighton     |    0.000    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.000  |
|      Colgate      |    0.000    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.000  |
|  Cleveland State  |    0.000    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.000  |
|      Clemson      |    0.000    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.000  |
|       Bryant      |    0.000    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.000  |
|      Bradley      |    0.000    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.000  |
|       Baylor      |    0.000    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.000  |
|       Akron       |    0.000    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.000  |
|       Total       |   227.593   | 169.508  | 122.368 |  96.520 |    74.860    | 58.882 | 749.731 |
+-------------------+-------------+----------+---------+---------+--------------+--------+---------+
