Expected Points For Each Team Taking the Team With the Highest Overall Chance Each Round, Eliminating All Others That Cannot Continue
+-----------------------+-------------+----------+---------+---------+--------------+--------+---------+
|          Team         | Round of 32 | Sweet 16 | Elite 8 | Final 4 | Championship | Winner |  Total  |
+-----------------------+-------------+----------+---------+---------+--------------+--------+---------+
|        Houston        |    8.966    |  13.880  |  19.902 |  29.193 |    36.690    | 46.789 | 155.420 |
|         UConn         |    8.846    |  13.328  |  18.608 |  25.595 |    35.324    | 0.000  | 101.701 |
|         Purdue        |    9.246    |  12.782  |  18.036 |  25.317 |    0.000     | 0.000  |  65.382 |
|     North Carolina    |    9.156    |  12.640  |  14.911 |  17.289 |    0.000     | 0.000  |  53.997 |
|       Tennessee       |    8.512    |  10.853  |  12.993 |  0.000  |    0.000     | 0.000  |  32.358 |
|       Iowa State      |    8.145    |  9.555   |  11.762 |  0.000  |    0.000     | 0.000  |  29.462 |
|       Marquette       |    7.576    |  8.651   |  10.216 |  0.000  |    0.000     | 0.000  |  26.443 |
|        Arizona        |    7.981    |  7.922   |  8.763  |  0.000  |    0.000     | 0.000  |  24.666 |
|         Auburn        |    6.995    |  8.676   |  0.000  |  0.000  |    0.000     | 0.000  |  15.671 |
|        Illinois       |    6.942    |  8.428   |  0.000  |  0.000  |    0.000     | 0.000  |  15.370 |
|     South Carolina    |    6.298    |  7.697   |  0.000  |  0.000  |    0.000     | 0.000  |  13.995 |
|         Baylor        |    7.269    |  7.626   |  0.000  |  0.000  |    0.000     | 0.000  |  14.896 |
|        Kentucky       |    6.742    |  7.526   |  0.000  |  0.000  |    0.000     | 0.000  |  14.267 |
|     James Madison     |    5.933    |  6.648   |  0.000  |  0.000  |    0.000     | 0.000  |  12.581 |
|      Grand Canyon     |    5.598    |  6.633   |  0.000  |  0.000  |    0.000     | 0.000  |  12.231 |
|     McNeese State     |    5.158    |  5.322   |  0.000  |  0.000  |    0.000     | 0.000  |  10.479 |
|       Utah State      |    6.803    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  6.803  |
|       Creighton       |    6.495    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  6.495  |
|    San Diego State    |    6.288    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  6.288  |
|         Drake         |    6.026    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  6.026  |
|       Texas Tech      |    5.925    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  5.925  |
|       New Mexico      |    5.907    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  5.907  |
|          FAU          |    5.797    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  5.797  |
|        Nebraska       |    5.735    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  5.735  |
|        Alabama        |    5.680    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  5.680  |
|          Duke         |    5.511    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  5.511  |
|   Mississippi State   |    5.435    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  5.435  |
|          BYU          |    5.388    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  5.388  |
|         Nevada        |    5.205    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  5.205  |
|        Samford        |    5.097    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  5.097  |
|        Florida        |    5.095    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  5.095  |
|         Texas         |    4.398    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  4.398  |
|          Yale         |    0.000    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.000  |
|       Wisconsin       |    0.000    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.000  |
|    Western Kentucky   |    0.000    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.000  |
|    Washington State   |    0.000    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.000  |
|         Wagner        |    0.000    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.000  |
|        Virginia       |    0.000    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.000  |
|        Vermont        |    0.000    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.000  |
|          UAB          |    0.000    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.000  |
|          TCU          |    0.000    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.000  |
|          TAMU         |    0.000    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.000  |
|        Stetson        |    0.000    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.000  |
|   South Dakota State  |    0.000    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.000  |
|     Saint Peter's     |    0.000    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.000  |
|      Saint Mary's     |    0.000    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.000  |
|         Oregon        |    0.000    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.000  |
|    Oakland-Michigan   |    0.000    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.000  |
