Expected Points For Each Team Taking the Team With the Highest Expected Points Each Round, Eliminating All Others That Cannot Continue
+-------------------+-------------+----------+---------+---------+--------------+--------+---------+
|        Team       | Round of 32 | Sweet 16 | Elite 8 | Final 4 | Championship | Winner |  Total  |
+-------------------+-------------+----------+---------+---------+--------------+--------+---------+
|       Auburn      |    9.224    |  12.439  |  17.865 |  24.309 |    32.664    | 42.079 | 138.580 |
|      Alabama      |    8.319    |  11.078  |  14.074 |  19.180 |    24.151    | 0.000  |  76.801 |
|      Florida      |    8.524    |  11.243  |  13.879 |  18.169 |    0.000     | 0.000  |  51.815 |
|        Duke       |    8.082    |  10.158  |  13.098 |  15.080 |    0.000     | 0.000  |  46.417 |
|      Houston      |    7.843    |  9.296   |  11.201 |  0.000  |    0.000     | 0.000  |  28.339 |
| Mississippi State |    7.308    |  8.603   |  9.918  |  0.000  |    0.000     | 0.000  |  25.829 |
|        TAMU       |    7.201    |  8.295   |  9.584  |  0.000  |    0.000     | 0.000  |  25.080 |
|     Marquette     |    7.097    |  8.223   |  8.758  |  0.000  |    0.000     | 0.000  |  24.078 |
|     Tennessee     |    7.168    |  9.825   |  0.000  |  0.000  |    0.000     | 0.000  |  16.993 |
|     Iowa State    |    8.005    |  9.241   |  0.000  |  0.000  |    0.000     | 0.000  |  17.245 |
|       Purdue      |    6.800    |  8.795   |  0.000  |  0.000  |    0.000     | 0.000  |  15.595 |
|      Michigan     |    6.702    |  8.327   |  0.000  |  0.000  |    0.000     | 0.000  |  15.029 |
|     Utah State    |    6.347    |  7.851   |  0.000  |  0.000  |    0.000     | 0.000  |  14.198 |
|      Memphis      |    6.385    |  7.829   |  0.000  |  0.000  |    0.000     | 0.000  |  14.215 |
|    Saint Mary's   |    6.040    |  7.499   |  0.000  |  0.000  |    0.000     | 0.000  |  13.539 |
|     Wisconsin     |    5.974    |  6.962   |  0.000  |  0.000  |    0.000     | 0.000  |  12.936 |
|       Kansas      |    6.943    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  6.943  |
|       Oregon      |    6.363    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  6.363  |
|     UC-Irvine     |    6.285    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  6.285  |
|   Michigan State  |    6.025    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  6.025  |
|     Texas Tech    |    5.930    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  5.930  |
|  San Diego State  |    5.739    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  5.739  |
|      Gonzaga      |    5.684    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  5.684  |
|      Kentucky     |    5.606    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  5.606  |
|     Louisville    |    5.547    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  5.547  |
|      Illinois     |    5.490    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  5.490  |
|      Ole Miss     |    5.461    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  5.461  |
|      Arizona      |    5.438    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  5.438  |
|    Saint John's   |    5.424    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  5.424  |
|       UConn       |    5.270    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  5.270  |
|      Nebraska     |    5.207    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  5.207  |
|   North Carolina  |    5.059    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  5.059  |
|        Yale       |    0.000    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.000  |
|  William and Mary |    0.000    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.000  |
|   West Virginia   |    0.000    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.000  |
|    Utah Valley    |    0.000    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.000  |
|        UCLA       |    0.000    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.000  |
|      Southern     |    0.000    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.000  |
|      Samford      |    0.000    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.000  |
|    Saint Louis    |    0.000    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.000  |
|        Pitt       |    0.000    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.000  |
|    Old Dominion   |    0.000    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.000  |
|      Oklahoma     |    0.000    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.000  |
|     Ohio State    |    0.000    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.000  |
| Northern Colorado |    0.000    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.000  |
|  New Mexico State |    0.000    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.000  |
|     New Mexico    |    0.000    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.000  |
|   Nebraska-Omaha  |    0.000    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.000  |
|   Morehead State  |    0.000    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.000  |
|      Missouri     |    0.000    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.000  |
|   McNeese State   |    0.000    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.000  |
|      Maryland     |    0.000    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.000  |
|       Marist      |    0.000    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.000  |
|    Long Island    |    0.000    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.000  |
|      Lipscomb     |    0.000    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.000  |
|        Iowa       |    0.000    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.000  |
|       Howard      |    0.000    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.000  |
|     High Point    |    0.000    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.000  |
|      Georgia      |    0.000    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.000  |
|       Dayton      |    0.000    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.000  |
|     Creighton     |    0.000    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.000  |
|      Colgate      |    0.000    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.000  |
|  Cleveland State  |    0.000    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.000  |
|      Clemson      |    0.000    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.000  |
|       Bryant      |    0.000    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.000  |
|      Bradley      |    0.000    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.000  |
|       Baylor      |    0.000    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.000  |
|       Akron       |    0.000    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.000  |
|       Total       |   208.492   | 145.662  |  98.377 |  76.737 |    56.815    | 42.079 | 628.162 |
+-------------------+-------------+----------+---------+---------+--------------+--------+---------+
