Team Rankings Adjusting for Home Court Advantage and Road Disadvantage
+------+-------------------+--------+----------------+-------------+---------+------+
| Rank |        Team       |   BT   | Home Court Adv | Road Disadv |  Record | Tier |
+------+-------------------+--------+----------------+-------------+---------+------+
|  1   |       Auburn      | 1.681  |     0.579      |    0.491    |  21 - 2 |  1   |
|  2   |      Florida      | 1.413  |     0.512      |    0.376    |  20 - 3 |  2   |
|  3   |      Alabama      | 1.348  |     0.515      |    0.833    |  20 - 3 |  2   |
|  4   |     Tennessee     | 1.289  |     0.729      |    0.208    |  20 - 4 |  2   |
|  5   |      Memphis      | 1.191  |     0.358      |    0.627    |  19 - 4 |  3   |
|  6   |     Utah State    | 1.169  |     0.219      |    0.447    |  21 - 3 |  3   |
|  7   |        TAMU       | 1.169  |     0.723      |    0.237    |  18 - 5 |  3   |
|  8   |        Duke       | 1.162  |     0.710      |    0.733    |  20 - 3 |  3   |
|  9   |     Wisconsin     | 1.157  |     0.617      |    -0.020   |  19 - 5 |  3   |
|  10  |       Purdue      | 1.147  |     0.653      |    0.183    |  19 - 5 |  3   |
|  11  |      Houston      | 1.131  |     0.281      |    0.850    |  19 - 4 |  3   |
|  12  |    Saint Mary's   | 1.091  |     0.669      |    0.365    |  21 - 4 |  3   |
|  13  |   Michigan State  | 1.041  |     0.893      |    0.176    |  19 - 4 |  4   |
|  14  |    Saint John's   | 1.026  |     0.989      |    0.486    |  21 - 3 |  4   |
|  15  |      Clemson      | 0.998  |     0.608      |    0.012    |  19 - 5 |  4   |
|  16  |     New Mexico    | 0.990  |     0.602      |    0.296    |  20 - 4 |  4   |
|  17  |      Michigan     | 0.975  |     0.856      |    0.379    |  18 - 5 |  4   |
|  18  |     Marquette     | 0.973  |     0.555      |    0.214    |  18 - 6 |  4   |
|  19  |     Louisville    | 0.964  |     0.420      |    0.410    |  18 - 6 |  4   |
|  20  |       Kansas      | 0.930  |     0.613      |    0.054    |  16 - 7 |  4   |
|  21  |      Kentucky     | 0.923  |     0.730      |    -0.020   |  16 - 7 |  4   |
|  22  |     Iowa State    | 0.922  |     0.615      |    0.158    |  18 - 5 |  4   |
|  23  |      Ole Miss     | 0.916  |     0.632      |    0.314    |  18 - 6 |  4   |
|  24  | Mississippi State | 0.895  |     0.390      |    0.693    |  17 - 6 |  4   |
|  25  |     UC-Irvine     | 0.877  |     0.396      |    0.480    |  20 - 4 |  4   |
|  26  |     Creighton     | 0.875  |     0.776      |    0.099    |  18 - 6 |  4   |
|  27  |      Oklahoma     | 0.858  |     0.155      |    -0.204   |  16 - 7 |  4   |
|  28  |     Texas Tech    | 0.834  |     0.496      |    0.703    |  18 - 5 |  5   |
|  29  |       Oregon      | 0.807  |     0.341      |    0.466    |  16 - 8 |  5   |
|  30  |      Arizona      | 0.786  |     0.853      |    0.517    |  17 - 6 |  5   |
|  31  |      Nebraska     | 0.757  |     0.401      |    0.034    |  15 - 8 |  5   |
|  32  |      Maryland     | 0.752  |     0.888      |    -0.290   |  17 - 6 |  5   |
|  33  |        UCLA       | 0.751  |     0.906      |    0.082    |  18 - 6 |  5   |
|  34  |      Bradley      | 0.738  |     0.193      |    0.295    |  19 - 6 |  5   |
|  35  |      Illinois     | 0.737  |     0.324      |    0.165    |  16 - 8 |  5   |
|  36  |      Missouri     | 0.721  |     0.887      |    0.082    |  17 - 6 |  5   |
|  37  |       Akron       | 0.699  |     0.832      |    -0.133   |  18 - 5 |  5   |
|  38  |   West Virginia   | 0.697  |     0.434      |    -0.022   |  15 - 8 |  5   |
|  39  |     Ohio State    | 0.688  |     0.141      |    0.163    |  14 - 9 |  5   |
|  40  |       Baylor      | 0.684  |     0.645      |    -0.308   |  15 - 8 |  5   |
|  41  |  San Diego State  | 0.665  |     0.316      |    0.350    |  15 - 6 |  5   |
|  42  |     High Point    | 0.653  |     0.608      |    -0.016   |  21 - 5 |  5   |
|  43  |      Gonzaga      | 0.618  |     0.681      |    0.241    |  18 - 7 |  6   |
|  44  |      Georgia      | 0.607  |     0.808      |    -0.298   |  16 - 8 |  6   |
|  45  |   North Carolina  | 0.589  |     0.504      |    -0.088   | 14 - 10 |  6   |
|  46  |   McNeese State   | 0.573  |     0.539      |    0.158    |  18 - 6 |  6   |
|  47  |      Samford      | 0.536  |     0.542      |    -0.006   |  19 - 6 |  6   |
|  48  |        Pitt       | 0.515  |     0.517      |    -0.042   |  14 - 9 |  6   |
|  49  |       UConn       | 0.490  |     0.456      |    0.527    |  16 - 7 |  6   |
|  50  |        Yale       | 0.481  |     0.716      |    -0.234   |  14 - 6 |  6   |
|  51  |    Utah Valley    | 0.425  |     0.456      |    -0.031   |  17 - 7 |  6   |
|  52  |       Dayton      | 0.371  |     0.656      |    -0.144   |  16 - 8 |  7   |
|  53  |  Cleveland State  | 0.366  |     0.319      |    0.047    |  18 - 7 |  7   |
|  54  | Northern Colorado | 0.325  |     0.177      |    0.148    |  18 - 7 |  7   |
|  55  |       Marist      | 0.302  |     0.340      |    -0.038   |  16 - 5 |  7   |
|  56  |      Lipscomb     | 0.289  |     0.022      |    0.267    |  17 - 8 |  7   |
|  57  |        Iowa       | 0.286  |     0.409      |    -0.468   | 13 - 10 |  7   |
|  58  |      Southern     | 0.219  |     0.443      |    -0.224   |  15 - 8 |  7   |
|  59  |   Nebraska-Omaha  | 0.117  |     0.315      |    -0.198   | 16 - 10 |  8   |
|  60  |    Saint Louis    | 0.104  |     0.685      |    -0.129   | 14 - 10 |  8   |
|  61  |  William and Mary | 0.002  |     0.679      |    -0.677   | 14 - 11 |  8   |
|  62  |       Bryant      | -0.016 |     -0.025     |    0.270    | 15 - 10 |  9   |
|  63  |   Morehead State  | -0.128 |     -0.207     |    0.079    | 14 - 11 |  9   |
|  64  |  New Mexico State | -0.181 |     -0.140     |    0.539    | 12 - 11 |  9   |
|  65  |      Colgate      | -0.326 |     0.274      |    -0.600   | 10 - 15 |  10  |
|  66  |    Long Island    | -0.354 |     -0.244     |    -0.300   | 12 - 15 |  10  |
|  67  |    Old Dominion   | -0.503 |     -0.262     |    0.295    | 11 - 14 |  11  |
|  68  |       Howard      | -0.723 |     -0.224     |    -0.499   |  9 - 14 |  12  |
+------+-------------------+--------+----------------+-------------+---------+------+
