Expected Points For Each Team From Making Each Round
+-------------------+-------------+----------+---------+---------+--------------+--------+---------+
|        Team       | Round of 32 | Sweet 16 | Elite 8 | Final 4 | Championship | Winner |  Total  |
+-------------------+-------------+----------+---------+---------+--------------+--------+---------+
|       Auburn      |    8.958    |  11.847  |  16.763 |  22.773 |    30.646    | 40.320 | 131.307 |
|      Florida      |    8.039    |  10.647  |  13.417 |  17.780 |    19.954    | 23.790 |  93.627 |
|      Alabama      |    7.741    |  9.394   |  11.109 |  13.617 |    16.178    | 17.947 |  75.986 |
|     Tennessee     |    7.158    |  9.537   |  11.134 |  13.513 |    15.379    | 16.626 |  73.348 |
|        Duke       |    7.843    |  9.268   |  11.422 |  12.438 |    13.387    | 13.654 |  68.011 |
|      Houston      |    7.878    |  8.885   |  9.875  |  11.239 |    11.921    | 11.975 |  61.774 |
|        TAMU       |    7.041    |  8.356   |  9.561  |  9.271  |    10.291    | 11.053 |  55.574 |
|     Iowa State    |    7.932    |  9.214   |  10.259 |  9.723  |    8.622     | 8.216  |  53.966 |
|       Purdue      |    6.946    |  9.164   |  8.103  |  9.002  |    9.897     | 10.523 |  53.635 |
|     Utah State    |    6.102    |  7.631   |  8.042  |  9.759  |    9.809     | 10.537 |  51.880 |
|     Wisconsin     |    6.141    |  7.153   |  8.511  |  8.918  |    9.777     | 9.946  |  50.446 |
|      Memphis      |    6.115    |  7.038   |  7.465  |  8.592  |    9.561     | 9.884  |  48.655 |
|     Marquette     |    7.289    |  8.179   |  8.344  |  7.991  |    8.042     | 7.468  |  47.313 |
|      Michigan     |    6.210    |  7.617   |  7.845  |  7.826  |    7.701     | 7.157  |  44.355 |
| Mississippi State |    6.881    |  7.680   |  8.423  |  7.873  |    6.881     | 6.466  |  44.203 |
|    Saint Mary's   |    5.841    |  6.945   |  7.605  |  7.094  |    7.609     | 7.882  |  42.976 |
|   Michigan State  |    5.957    |  6.031   |  5.955  |  6.417  |    6.669     | 6.409  |  37.438 |
|       Kansas      |    6.707    |  6.642   |  6.753  |  5.789  |    5.756     | 5.508  |  37.155 |
|      Ole Miss     |    5.379    |  5.495   |  5.540  |  5.726  |    5.467     | 4.925  |  32.532 |
|      Kentucky     |    5.558    |  5.373   |  5.785  |  5.397  |    5.299     | 4.792  |  32.203 |
|     Louisville    |    5.266    |  4.969   |  4.942  |  5.140  |    5.150     | 4.759  |  30.225 |
|     Texas Tech    |    5.203    |  5.040   |  5.415  |  5.029  |    4.600     | 3.964  |  29.251 |
|     UC-Irvine     |    5.480    |  5.374   |  5.382  |  4.479  |    4.336     | 4.035  |  29.086 |
|      Illinois     |    5.410    |  5.634   |  5.744  |  4.933  |    3.945     | 3.403  |  29.069 |
