Expected Points For Each Team Taking the Team With the Highest Overall Expected Points Each Round
+-------------------+-------------+----------+---------+---------+--------------+--------+---------+
|        Team       | Round of 32 | Sweet 16 | Elite 8 | Final 4 | Championship | Winner |  Total  |
+-------------------+-------------+----------+---------+---------+--------------+--------+---------+
|       Auburn      |    8.958    |  11.847  |  16.763 |  22.773 |    30.646    | 40.320 | 131.307 |
|      Alabama      |    7.741    |  9.394   |  11.109 |  13.617 |    16.178    | 0.000  |  58.040 |
|      Florida      |    8.039    |  10.647  |  13.417 |  17.780 |    0.000     | 0.000  |  49.883 |
|     Tennessee     |    7.158    |  9.537   |  11.134 |  13.513 |    0.000     | 0.000  |  41.342 |
|        Duke       |    7.843    |  9.268   |  11.422 |  0.000  |    0.000     | 0.000  |  28.533 |
|     Iowa State    |    7.932    |  9.214   |  10.259 |  0.000  |    0.000     | 0.000  |  27.404 |
|        TAMU       |    7.041    |  8.356   |  9.561  |  0.000  |    0.000     | 0.000  |  24.958 |
|     Wisconsin     |    6.141    |  7.153   |  8.511  |  0.000  |    0.000     | 0.000  |  21.805 |
|       Purdue      |    6.946    |  9.164   |  0.000  |  0.000  |    0.000     | 0.000  |  16.109 |
|      Houston      |    7.878    |  8.885   |  0.000  |  0.000  |    0.000     | 0.000  |  16.763 |
|     Marquette     |    7.289    |  8.179   |  0.000  |  0.000  |    0.000     | 0.000  |  15.468 |
| Mississippi State |    6.881    |  7.680   |  0.000  |  0.000  |    0.000     | 0.000  |  14.561 |
|     Utah State    |    6.102    |  7.631   |  0.000  |  0.000  |    0.000     | 0.000  |  13.733 |
|      Michigan     |    6.210    |  7.617   |  0.000  |  0.000  |    0.000     | 0.000  |  13.827 |
|      Memphis      |    6.115    |  7.038   |  0.000  |  0.000  |    0.000     | 0.000  |  13.153 |
|    Saint Mary's   |    5.841    |  6.945   |  0.000  |  0.000  |    0.000     | 0.000  |  12.786 |
|       Kansas      |    6.707    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  6.707  |
|   Michigan State  |    5.957    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  5.957  |
|       Oregon      |    5.945    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  5.945  |
|      Gonzaga      |    5.816    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  5.816  |
|      Kentucky     |    5.558    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  5.558  |
|     UC-Irvine     |    5.480    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  5.480  |
|      Illinois     |    5.410    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  5.410  |
|      Ole Miss     |    5.379    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  5.379  |
