Team Rankings Adjusting for Conference
+------+-------------------+---------+-------------------------+---------------+--------+---------+------+
| Rank |        Team       | Team BT |        Conference       | Conference BT |   BT   |  Record | Tier |
+------+-------------------+---------+-------------------------+---------------+--------+---------+------+
|  1   |       Auburn      |  1.109  |           SEC           |     2.720     | 3.828  |  21 - 2 |  1   |
|  2   |      Alabama      |  0.867  |           SEC           |     2.720     | 3.586  |  20 - 3 |  1   |
|  3   |      Florida      |  0.755  |           SEC           |     2.720     | 3.475  |  20 - 3 |  1   |
|  4   |     Tennessee     |  0.713  |           SEC           |     2.720     | 3.433  |  20 - 4 |  1   |
|  5   |        TAMU       |  0.523  |           SEC           |     2.720     | 3.243  |  18 - 5 |  2   |
|  6   |      Ole Miss     |  0.312  |           SEC           |     2.720     | 3.032  |  18 - 6 |  2   |
|  7   |       Purdue      |  0.889  |         Big Ten         |     2.093     | 2.982  |  19 - 5 |  2   |
|  8   |      Missouri     |  0.228  |           SEC           |     2.720     | 2.947  |  17 - 6 |  2   |
|  9   | Mississippi State |  0.205  |           SEC           |     2.720     | 2.924  |  17 - 6 |  2   |
|  10  |      Kentucky     |  0.142  |           SEC           |     2.720     | 2.862  |  16 - 7 |  3   |
|  11  |      Oklahoma     |  0.090  |           SEC           |     2.720     | 2.810  |  16 - 7 |  3   |
|  12  |      Michigan     |  0.679  |         Big Ten         |     2.093     | 2.773  |  18 - 5 |  3   |
|  13  |   Michigan State  |  0.676  |         Big Ten         |     2.093     | 2.770  |  19 - 4 |  3   |
|  14  |     Wisconsin     |  0.648  |         Big Ten         |     2.093     | 2.742  |  19 - 5 |  3   |
|  15  |      Houston      |  0.880  |          Big 12         |     1.830     | 2.710  |  19 - 4 |  3   |
|  16  |        Duke       |  1.331  |           ACC           |     1.350     | 2.680  |  20 - 3 |  3   |
|  17  |      Georgia      |  -0.092 |           SEC           |     2.720     | 2.628  |  16 - 8 |  3   |
|  18  |        UCLA       |  0.476  |         Big Ten         |     2.093     | 2.570  |  18 - 6 |  3   |
|  19  |     Iowa State    |  0.717  |          Big 12         |     1.830     | 2.546  |  18 - 5 |  3   |
|  20  |    Saint John's   |  1.182  |         Big East        |     1.339     | 2.520  |  21 - 3 |  3   |
|  21  |      Arizona      |  0.670  |          Big 12         |     1.830     | 2.500  |  17 - 6 |  3   |
|  22  |     Texas Tech    |  0.633  |          Big 12         |     1.830     | 2.463  |  18 - 5 |  3   |
