Expected Points For Each Team Taking the Team With the Highest Overall Expected Points Each Round
+-----------------------+-------------+----------+---------+---------+--------------+--------+---------+
|          Team         | Round of 32 | Sweet 16 | Elite 8 | Final 4 | Championship | Winner |  Total  |
+-----------------------+-------------+----------+---------+---------+--------------+--------+---------+
|        Houston        |    8.239    |  11.970  |  15.798 |  21.986 |    27.069    | 33.719 | 118.781 |
|         UConn         |    8.088    |  11.244  |  14.799 |  19.227 |    24.924    | 0.000  |  78.283 |
|         Purdue        |    8.618    |  11.249  |  14.573 |  19.596 |    0.000     | 0.000  |  54.035 |
|     North Carolina    |    8.488    |  11.174  |  12.484 |  14.138 |    0.000     | 0.000  |  46.285 |
|       Tennessee       |    7.684    |  9.313   |  10.745 |  0.000  |    0.000     | 0.000  |  27.742 |
|       Iowa State      |    7.345    |  8.123   |  9.577  |  0.000  |    0.000     | 0.000  |  25.045 |
|       Marquette       |    6.804    |  7.512   |  8.613  |  0.000  |    0.000     | 0.000  |  22.929 |
|        Arizona        |    7.294    |  7.181   |  7.917  |  0.000  |    0.000     | 0.000  |  22.392 |
|         Auburn        |    6.404    |  7.613   |  0.000  |  0.000  |    0.000     | 0.000  |  14.017 |
|        Illinois       |    6.216    |  7.237   |  0.000  |  0.000  |    0.000     | 0.000  |  13.453 |
|     South Carolina    |    5.982    |  7.007   |  0.000  |  0.000  |    0.000     | 0.000  |  12.989 |
|     James Madison     |    6.045    |  6.762   |  0.000  |  0.000  |    0.000     | 0.000  |  12.808 |
|        Kentucky       |    6.111    |  6.675   |  0.000  |  0.000  |    0.000     | 0.000  |  12.786 |
|       New Mexico      |    5.800    |  6.629   |  0.000  |  0.000  |    0.000     | 0.000  |  12.429 |
|      Grand Canyon     |    5.570    |  6.531   |  0.000  |  0.000  |    0.000     | 0.000  |  12.101 |
|     McNeese State     |    5.327    |  5.630   |  0.000  |  0.000  |    0.000     | 0.000  |  10.957 |
|       Utah State      |    6.555    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  6.555  |
|         Baylor        |    6.401    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  6.401  |
|         Drake         |    5.927    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  5.927  |
|    San Diego State    |    5.891    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  5.891  |
|       Creighton       |    5.890    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  5.890  |
|          FAU          |    5.788    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  5.788  |
|       Texas Tech      |    5.757    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  5.757  |
|        Nebraska       |    5.681    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  5.681  |
|        Samford        |    5.424    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  5.424  |
|   Mississippi State   |    5.369    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  5.369  |
|        Alabama        |    5.161    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  5.161  |
|          BYU          |    5.133    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  5.133  |
|         Nevada        |    5.099    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  5.099  |
