Team Rankings Based on Neg Binomial Adjusted Score
+------+-------------------+-----------+-----------+--------------+--------------+--------------+-----------+---------+------+
| Rank |        Team       | Off. Coef | Def. Coef | Completeness | Adj. Offense | Adj. Defense | Adj. Diff |  Record | Tier |
+------+-------------------+-----------+-----------+--------------+--------------+--------------+-----------+---------+------+
|  1   |       Auburn      |   0.321   |   -0.156  |    0.477     |    90.419    |    56.108    |   34.311  |  21 - 2 |  1   |
|  2   |      Houston      |   0.250   |   -0.227  |    0.477     |    84.258    |    52.306    |   31.952  |  19 - 4 |  1   |
|  3   |        Duke       |   0.269   |   -0.200  |    0.469     |    85.849    |    53.701    |   32.148  |  20 - 3 |  1   |
|  4   |     Tennessee     |   0.212   |   -0.243  |    0.455     |    81.072    |    51.448    |   29.623  |  20 - 4 |  1   |
|  5   |      Florida      |   0.258   |   -0.165  |    0.423     |    84.948    |    55.630    |   29.318  |  20 - 3 |  2   |
|  6   |      Alabama      |   0.272   |   -0.128  |    0.400     |    86.095    |    57.737    |   28.359  |  20 - 3 |  2   |
|  7   |      Arizona      |   0.237   |   -0.146  |    0.383     |    83.130    |    56.700    |   26.430  |  17 - 6 |  2   |
|  8   |     Texas Tech    |   0.252   |   -0.129  |    0.381     |    84.417    |    57.683    |   26.734  |  18 - 5 |  2   |
|  9   |     Iowa State    |   0.213   |   -0.167  |    0.380     |    81.217    |    55.525    |   25.692  |  18 - 5 |  2   |
|  10  |       Kansas      |   0.198   |   -0.181  |    0.379     |    79.961    |    54.738    |   25.223  |  16 - 7 |  2   |
|  11  |      Illinois     |   0.234   |   -0.143  |    0.376     |    82.870    |    56.891    |   25.979  |  16 - 8 |  2   |
|  12  |       Purdue      |   0.256   |   -0.113  |    0.369     |    84.791    |    58.605    |   26.187  |  19 - 5 |  3   |
|  13  |      Gonzaga      |   0.247   |   -0.110  |    0.357     |    83.964    |    58.751    |   25.213  |  18 - 7 |  3   |
|  14  |     Wisconsin     |   0.245   |   -0.108  |    0.353     |    83.862    |    58.891    |   24.971  |  19 - 5 |  3   |
|  15  |      Maryland     |   0.203   |   -0.144  |    0.347     |    80.350    |    56.814    |   23.536  |  17 - 6 |  3   |
|  16  |      Michigan     |   0.209   |   -0.136  |    0.345     |    80.893    |    57.269    |   23.624  |  18 - 5 |  3   |
|  17  |     Ohio State    |   0.211   |   -0.133  |    0.344     |    81.059    |    57.443    |   23.616  |  14 - 9 |  3   |
|  18  |      Kentucky     |   0.276   |   -0.068  |    0.344     |    86.458    |    61.320    |   25.138  |  16 - 7 |  3   |
|  19  |    Saint John's   |   0.142   |   -0.199  |    0.342     |    75.647    |    53.758    |   21.889  |  21 - 3 |  3   |
|  20  |    Saint Mary's   |   0.199   |   -0.140  |    0.340     |    80.097    |    57.022    |   23.075  |  21 - 4 |  3   |
|  21  |   Michigan State  |   0.203   |   -0.135  |    0.338     |    80.415    |    57.332    |   23.083  |  19 - 4 |  3   |
|  22  |        TAMU       |   0.183   |   -0.155  |    0.338     |    78.758    |    56.177    |   22.580  |  18 - 5 |  3   |
|  23  |       Baylor      |   0.256   |   -0.077  |    0.333     |    84.729    |    60.725    |   24.005  |  15 - 8 |  3   |
|  24  |        UCLA       |   0.192   |   -0.140  |    0.333     |    79.519    |    57.019    |   22.499  |  18 - 6 |  3   |
|  25  |      Ole Miss     |   0.192   |   -0.140  |    0.331     |    79.465    |    57.062    |   22.403  |  18 - 6 |  3   |
|  26  |      Missouri     |   0.235   |   -0.094  |    0.329     |    82.960    |    59.699    |   23.261  |  17 - 6 |  3   |
|  27  |     Creighton     |   0.200   |   -0.124  |    0.325     |    80.173    |    57.951    |   22.222  |  18 - 6 |  3   |
|  28  |       UConn       |   0.246   |   -0.077  |    0.322     |    83.893    |    60.769    |   23.124  |  16 - 7 |  3   |
|  29  |     Marquette     |   0.205   |   -0.114  |    0.319     |    80.550    |    58.569    |   21.981  |  18 - 6 |  4   |
|  30  |     Louisville    |   0.202   |   -0.112  |    0.314     |    80.313    |    58.660    |   21.653  |  18 - 6 |  4   |
|  31  | Mississippi State |   0.217   |   -0.085  |    0.302     |    81.505    |    60.256    |   21.248  |  17 - 6 |  4   |
|  32  |      Georgia      |   0.170   |   -0.129  |    0.299     |    77.791    |    57.663    |   20.127  |  16 - 8 |  4   |
|  33  |   West Virginia   |   0.149   |   -0.146  |    0.295     |    76.192    |    56.721    |   19.471  |  15 - 8 |  4   |
|  34  |      Clemson      |   0.209   |   -0.085  |    0.294     |    80.863    |    60.294    |   20.569  |  19 - 5 |  4   |
|  35  |        Pitt       |   0.210   |   -0.075  |    0.285     |    80.976    |    60.892    |   20.084  |  14 - 9 |  4   |
|  36  |     New Mexico    |   0.152   |   -0.127  |    0.279     |    76.391    |    57.782    |   18.609  |  20 - 4 |  4   |
|  37  |       Oregon      |   0.187   |   -0.091  |    0.278     |    79.106    |    59.895    |   19.211  |  16 - 8 |  4   |
|  38  |      Oklahoma     |   0.209   |   -0.060  |    0.268     |    80.828    |    61.804    |   19.024  |  16 - 7 |  4   |
|  39  |   North Carolina  |   0.190   |   -0.075  |    0.266     |    79.378    |    60.868    |   18.509  | 14 - 10 |  5   |
|  40  |      Memphis      |   0.175   |   -0.090  |    0.265     |    78.199    |    59.975    |   18.224  |  19 - 4 |  5   |
|  41  |  San Diego State  |   0.108   |   -0.157  |    0.265     |    73.103    |    56.074    |   17.029  |  15 - 6 |  5   |
|  42  |      Nebraska     |   0.151   |   -0.101  |    0.252     |    76.318    |    59.290    |   17.028  |  15 - 8 |  5   |
|  43  |     Utah State    |   0.194   |   -0.054  |    0.247     |    79.630    |    62.193    |   17.437  |  21 - 3 |  5   |
|  44  |        Iowa       |   0.213   |   -0.011  |    0.224     |    81.169    |    64.912    |   16.258  | 13 - 10 |  5   |
|  45  |   McNeese State   |   0.151   |   -0.066  |    0.217     |    76.327    |    61.408    |   14.919  |  18 - 6 |  5   |
|  46  |     UC-Irvine     |   0.089   |   -0.124  |    0.214     |    71.739    |    57.933    |   13.806  |  20 - 4 |  6   |
|  47  |        Yale       |   0.164   |   -0.038  |    0.201     |    77.274    |    63.176    |   14.098  |  14 - 6 |  6   |
|  48  |       Dayton      |   0.171   |   -0.016  |    0.187     |    77.812    |    64.553    |   13.259  |  16 - 8 |  6   |
|  49  |      Bradley      |   0.147   |   -0.039  |    0.186     |    76.023    |    63.113    |   12.910  |  19 - 6 |  6   |
|  50  |      Lipscomb     |   0.119   |   -0.041  |    0.160     |    73.903    |    62.951    |   10.952  |  17 - 8 |  7   |
|  51  |       Akron       |   0.131   |   -0.027  |    0.158     |    74.827    |    63.889    |   10.938  |  18 - 5 |  7   |
|  52  |     High Point    |   0.190   |   0.037   |    0.153     |    79.338    |    68.086    |   11.252  |  21 - 5 |  7   |
|  53  |    Saint Louis    |   0.113   |   -0.036  |    0.150     |    73.495    |    63.264    |   10.231  | 14 - 10 |  7   |
|  54  |      Samford      |   0.128   |   -0.003  |    0.131     |    74.547    |    65.397    |   9.150   |  19 - 6 |  7   |
|  55  |    Utah Valley    |   0.072   |   -0.053  |    0.125     |    70.539    |    62.235    |   8.305   |  17 - 7 |  7   |
|  56  | Northern Colorado |   0.134   |   0.022   |    0.112     |    75.035    |    67.060    |   7.975   |  18 - 7 |  7   |
|  57  |       Bryant      |   0.098   |   -0.006  |    0.104     |    72.346    |    65.206    |   7.140   | 15 - 10 |  8   |
|  58  |  Cleveland State  |   0.059   |   -0.036  |    0.095     |    69.618    |    63.313    |   6.305   |  18 - 7 |  8   |
|  59  |  New Mexico State |   0.064   |   -0.015  |    0.080     |    69.984    |    64.616    |   5.368   | 12 - 11 |  8   |
|  60  |   Nebraska-Omaha  |   0.099   |   0.035   |    0.064     |    72.436    |    67.926    |   4.510   | 16 - 10 |  8   |
|  61  |       Marist      |   0.021   |   -0.018  |    0.038     |    66.995    |    64.470    |   2.524   |  16 - 5 |  9   |
|  62  |      Southern     |   0.003   |   -0.026  |    0.029     |    65.827    |    63.956    |   1.871   |  15 - 8 |  9   |
|  63  |  William and Mary |   0.092   |   0.069   |    0.024     |    71.943    |    70.266    |   1.677   | 14 - 11 |  9   |
|  64  |      Colgate      |   0.070   |   0.056   |    0.014     |    70.371    |    69.377    |   0.994   | 10 - 15 |  9   |
|  65  |    Long Island    |   -0.033  |   0.001   |    -0.034    |    63.455    |    65.668    |   -2.212  | 12 - 15 |  10  |
|  66  |       Howard      |   0.081   |   0.130   |    -0.048    |    71.175    |    74.696    |   -3.520  |  9 - 14 |  11  |
|  67  |   Morehead State  |   0.005   |   0.055   |    -0.051    |    65.910    |    69.328    |   -3.418  | 14 - 11 |  11  |
|  68  |    Old Dominion   |   0.005   |   0.061   |    -0.056    |    65.953    |    69.757    |   -3.803  | 11 - 14 |  11  |
+------+-------------------+-----------+-----------+--------------+--------------+--------------+-----------+---------+------+
