Expected Points For Each Team Taking the Team That Minimizes The Expected Points Lost For Each Round
+-------------------+-------------+----------+---------+---------+--------------+--------+---------+
|        Team       | Round of 32 | Sweet 16 | Elite 8 | Final 4 | Championship | Winner |  Total  |
+-------------------+-------------+----------+---------+---------+--------------+--------+---------+
|       Auburn      |    9.986    |  16.507  |  25.373 |  39.720 |    57.444    | 69.525 | 218.555 |
|        Duke       |    9.991    |  14.685  |  23.726 |  25.176 |    38.147    | 0.000  | 111.725 |
|      Alabama      |    9.821    |  14.534  |  20.828 |  28.017 |    0.000     | 0.000  |  73.200 |
|      Florida      |    9.935    |  12.619  |  19.753 |  25.808 |    0.000     | 0.000  |  68.116 |
|      Houston      |    9.909    |  16.619  |  20.181 |  0.000  |    0.000     | 0.000  |  46.709 |
|     Iowa State    |    9.938    |  14.621  |  17.377 |  0.000  |    0.000     | 0.000  |  41.936 |
|       Kansas      |    9.797    |  11.785  |  14.567 |  0.000  |    0.000     | 0.000  |  36.149 |
|     Marquette     |    9.069    |  10.829  |  9.649  |  0.000  |    0.000     | 0.000  |  29.547 |
|     Tennessee     |    9.822    |  16.552  |  0.000  |  0.000  |    0.000     | 0.000  |  26.374 |
|   Michigan State  |    8.798    |  12.683  |  0.000  |  0.000  |    0.000     | 0.000  |  21.482 |
|      Illinois     |    8.358    |  12.027  |  0.000  |  0.000  |    0.000     | 0.000  |  20.386 |
|        TAMU       |    9.616    |  10.989  |  0.000  |  0.000  |    0.000     | 0.000  |  20.605 |
|       Purdue      |    9.478    |  10.851  |  0.000  |  0.000  |    0.000     | 0.000  |  20.328 |
|      Michigan     |    8.139    |  9.713   |  0.000  |  0.000  |    0.000     | 0.000  |  17.852 |
|      Missouri     |    6.981    |  9.391   |  0.000  |  0.000  |    0.000     | 0.000  |  16.371 |
|      Kentucky     |    8.810    |  8.991   |  0.000  |  0.000  |    0.000     | 0.000  |  17.801 |
|      Gonzaga      |    8.889    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  8.889  |
|       UConn       |    8.872    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  8.872  |
| Mississippi State |    8.277    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  8.277  |
|       Oregon      |    8.235    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  8.235  |
|       Baylor      |    7.675    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  7.675  |
|      Memphis      |    6.885    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  6.885  |
|      Ole Miss     |    6.696    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  6.696  |
|     Wisconsin     |    6.266    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  6.266  |
|    Saint John's   |    6.139    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  6.139  |
|     Louisville    |    6.132    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  6.132  |
|   West Virginia   |    6.011    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  6.011  |
|      Arizona      |    5.933    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  5.933  |
|     Texas Tech    |    5.839    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  5.839  |
|      Georgia      |    5.827    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  5.827  |
|        Pitt       |    5.479    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  5.479  |
|    Saint Mary's   |    5.175    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  5.175  |
|        Yale       |    0.000    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.000  |
|  William and Mary |    0.000    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.000  |
|    Utah Valley    |    0.000    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.000  |
|     Utah State    |    0.000    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.000  |
|        UCLA       |    0.000    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.000  |
|     UC-Irvine     |    0.000    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.000  |
|      Southern     |    0.000    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.000  |
|  San Diego State  |    0.000    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.000  |
|      Samford      |    0.000    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.000  |
|    Saint Louis    |    0.000    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.000  |
|    Old Dominion   |    0.000    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.000  |
|      Oklahoma     |    0.000    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.000  |
|     Ohio State    |    0.000    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.000  |
| Northern Colorado |    0.000    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.000  |
|   North Carolina  |    0.000    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.000  |
