Team Rankings Based on Generalized Poisson Adjusted Score
+------+-------------------+-------+-----------+-----------+--------------+--------------+--------------+-----------+---------+------+
| Rank |        Team       | Alpha | Off. Coef | Def. Coef | Completeness | Adj. Offense | Adj. Defense | Adj. Diff |  Record | Tier |
+------+-------------------+-------+-----------+-----------+--------------+--------------+--------------+-----------+---------+------+
|  1   |      Houston      | 0.016 |   0.181   |   -0.248  |    0.429     |    87.449    |    56.932    |   30.516  |  19 - 4 |  1   |
|  2   |       Auburn      | 0.016 |   0.250   |   -0.177  |    0.427     |    93.672    |    61.116    |   32.556  |  21 - 2 |  1   |
|  3   |        Duke       | 0.016 |   0.198   |   -0.222  |    0.420     |    88.904    |    58.427    |   30.478  |  20 - 3 |  1   |
|  4   |     Tennessee     | 0.016 |   0.142   |   -0.261  |    0.403     |    84.046    |    56.178    |   27.868  |  20 - 4 |  1   |
|  5   |      Florida      | 0.016 |   0.184   |   -0.181  |    0.365     |    87.639    |    60.858    |   26.781  |  20 - 3 |  2   |
|  6   |      Alabama      | 0.016 |   0.200   |   -0.143  |    0.343     |    89.095    |    63.195    |   25.900  |  20 - 3 |  2   |
|  7   |      Arizona      | 0.016 |   0.163   |   -0.165  |    0.328     |    85.844    |    61.831    |   24.013  |  17 - 6 |  2   |
|  8   |     Texas Tech    | 0.016 |   0.181   |   -0.147  |    0.328     |    87.432    |    62.989    |   24.443  |  18 - 5 |  2   |
|  9   |     Iowa State    | 0.016 |   0.141   |   -0.185  |    0.326     |    84.022    |    60.629    |   23.393  |  18 - 5 |  2   |
|  10  |       Kansas      | 0.016 |   0.127   |   -0.197  |    0.324     |    82.792    |    59.882    |   22.910  |  16 - 7 |  2   |
|  11  |      Illinois     | 0.016 |   0.160   |   -0.160  |    0.320     |    85.593    |    62.171    |   23.423  |  16 - 8 |  2   |
|  12  |       Purdue      | 0.016 |   0.186   |   -0.130  |    0.316     |    87.840    |    64.066    |   23.774  |  19 - 5 |  2   |
|  13  |      Gonzaga      | 0.016 |   0.174   |   -0.131  |    0.305     |    86.774    |    63.990    |   22.785  |  18 - 7 |  3   |
|  14  |     Wisconsin     | 0.016 |   0.172   |   -0.124  |    0.296     |    86.639    |    64.465    |   22.174  |  19 - 5 |  3   |
|  15  |     Ohio State    | 0.016 |   0.141   |   -0.154  |    0.296     |    84.015    |    62.519    |   21.496  |  14 - 9 |  3   |
