Chance For Each Team To Make Each Round
+-------------------+-------------+-------------+----------+---------+---------+--------------+--------+
|        Team       | Round of 64 | Round of 32 | Sweet 16 | Elite 8 | Final 4 | Championship | Winner |
+-------------------+-------------+-------------+----------+---------+---------+--------------+--------+
|       Auburn      |    100.0%   |    99.9%    |  83.0%   |  64.1%  |  50.7%  |    37.5%     | 22.7%  |
|      Houston      |    100.0%   |    99.2%    |  83.9%   |  51.4%  |  32.3%  |    25.0%     | 16.2%  |
|        Duke       |    100.0%   |    99.9%    |  73.5%   |  58.9%  |  31.2%  |    23.8%     | 15.0%  |
|     Tennessee     |    100.0%   |    98.6%    |  82.3%   |  41.0%  |  23.5%  |    17.1%     | 10.1%  |
|      Florida      |    100.0%   |    99.7%    |  62.1%   |  48.1%  |  31.0%  |    15.4%     |  7.2%  |
|      Alabama      |    100.0%   |    99.3%    |  73.7%   |  52.5%  |  35.3%  |    12.7%     |  5.8%  |
|     Iowa State    |    100.0%   |    99.7%    |  72.4%   |  42.8%  |  21.7%  |     8.9%     |  3.4%  |
|       Kansas      |    100.0%   |    99.0%    |  59.8%   |  37.1%  |  13.5%  |     6.8%     |  2.5%  |
|      Illinois     |    100.0%   |    87.0%    |  61.8%   |  33.9%  |  16.7%  |     6.5%     |  2.4%  |
|       Purdue      |    100.0%   |    96.3%    |  53.6%   |  16.2%  |   8.9%  |     4.3%     |  1.5%  |
|      Arizona      |    100.0%   |    58.2%    |  23.8%   |  16.8%  |   9.4%  |     3.9%     |  1.5%  |
|      Kentucky     |    100.0%   |    93.2%    |  50.1%   |  30.7%  |  14.3%  |     3.7%     |  1.3%  |
|   Michigan State  |    100.0%   |    90.9%    |  66.8%   |  27.9%  |  14.7%  |     3.7%     |  1.2%  |
|      Gonzaga      |    100.0%   |    92.8%    |  45.5%   |  12.5%  |   6.5%  |     3.0%     |  1.0%  |
|     Wisconsin     |    100.0%   |    64.0%    |  34.1%   |  20.9%  |   9.8%  |     2.6%     |  0.9%  |
|     Texas Tech    |    100.0%   |    58.5%    |  17.1%   |  10.6%  |   3.5%  |     2.0%     |  0.8%  |
|        TAMU       |    100.0%   |    97.0%    |  54.7%   |  23.9%  |   6.6%  |     2.6%     |  0.7%  |
|      Michigan     |    100.0%   |    87.6%    |  52.1%   |  14.7%  |   3.8%  |     1.9%     |  0.6%  |
|     Marquette     |    100.0%   |    95.1%    |  56.9%   |  25.3%  |  10.1%  |     2.2%     |  0.6%  |
|      Missouri     |    100.0%   |    70.2%    |  45.8%   |  14.9%  |   6.4%  |     1.9%     |  0.5%  |
|       Baylor      |    100.0%   |    81.3%    |  41.2%   |  17.7%  |   4.7%  |     1.8%     |  0.5%  |
|     Ohio State    |    100.0%   |    41.8%    |  14.0%   |   8.8%  |   4.2%  |     1.4%     |  0.5%  |
|        UCLA       |    100.0%   |    51.9%    |  21.3%   |  11.2%  |   3.2%  |     1.3%     |  0.4%  |
|    Saint John's   |    100.0%   |    61.6%    |  12.2%   |   5.5%  |   2.7%  |     1.1%     |  0.3%  |
|       UConn       |    100.0%   |    92.1%    |  44.7%   |  10.6%  |   2.3%  |     1.0%     |  0.3%  |
|    Saint Mary's   |    100.0%   |    48.1%    |  18.8%   |   9.5%  |   2.6%  |     1.0%     |  0.3%  |
|     Louisville    |    100.0%   |    61.2%    |  18.3%   |   9.5%  |   4.4%  |     0.9%     |  0.3%  |
| Mississippi State |    100.0%   |    85.0%    |  32.6%   |  12.5%  |   4.2%  |     1.1%     |  0.2%  |
|      Maryland     |    100.0%   |    41.5%    |   9.3%   |   5.0%  |   1.3%  |     0.6%     |  0.2%  |
|   West Virginia   |    100.0%   |    61.9%    |  29.2%   |  11.5%  |   4.1%  |     0.8%     |  0.2%  |
|     Creighton     |    77.0%    |    32.1%    |  14.4%   |   7.7%  |   3.0%  |     0.6%     |  0.2%  |
|      Ole Miss     |    100.0%   |    68.5%    |  13.1%   |   3.9%  |   1.2%  |     0.5%     |  0.2%  |
|       Oregon      |    100.0%   |    87.5%    |  39.2%   |   9.1%  |   2.9%  |     0.6%     |  0.1%  |
