Overall Team Rankings: Game by Game Matchup
+------+-------------------+-------+-----------+-----------+--------------+--------------+--------------+-----------+---------+------+
| Rank |        Team       | Alpha | Off. Coef | Def. Coef | Completeness | Adj. Offense | Adj. Defense | Adj. Diff |  Record | Tier |
+------+-------------------+-------+-----------+-----------+--------------+--------------+--------------+-----------+---------+------+
|  1   |        Duke       | 0.011 |   0.209   |   -0.202  |    0.411     |    87.828    |    58.244    |   29.584  |  25 - 3 |  1   |
|  2   |       Auburn      | 0.011 |   0.233   |   -0.165  |    0.398     |    89.958    |    60.433    |   29.526  |  26 - 2 |  1   |
|  3   |      Houston      | 0.011 |   0.172   |   -0.224  |    0.396     |    84.678    |    56.972    |   27.705  |  24 - 4 |  1   |
|  4   |     Tennessee     | 0.011 |   0.132   |   -0.226  |    0.358     |    81.347    |    56.882    |   24.465  |  23 - 5 |  2   |
|  5   |      Florida      | 0.011 |   0.180   |   -0.164  |    0.344     |    85.335    |    60.498    |   24.837  |  24 - 4 |  2   |
|  6   |      Alabama      | 0.011 |   0.198   |   -0.126  |    0.324     |    86.916    |    62.859    |   24.056  |  23 - 5 |  2   |
|  7   |     Texas Tech    | 0.011 |   0.176   |   -0.123  |    0.299     |    85.026    |    63.049    |   21.976  |  21 - 7 |  3   |
|  8   |      Arizona      | 0.011 |   0.142   |   -0.151  |    0.293     |    82.142    |    61.289    |   20.853  |  19 - 9 |  3   |
|  9   |      Gonzaga      | 0.011 |   0.168   |   -0.124  |    0.291     |    84.307    |    63.005    |   21.302  |  22 - 8 |  3   |
|  10  |     Iowa State    | 0.011 |   0.126   |   -0.157  |    0.283     |    80.866    |    60.920    |   19.946  |  21 - 7 |  3   |
|  11  |       Kansas      | 0.011 |   0.098   |   -0.176  |    0.274     |    78.665    |    59.794    |   18.871  |  19 - 9 |  3   |
|  12  |     Wisconsin     | 0.011 |   0.169   |   -0.104  |    0.273     |    84.389    |    64.225    |   20.164  |  22 - 6 |  3   |
|  13  |      Kentucky     | 0.011 |   0.185   |   -0.086  |    0.271     |    85.816    |    65.422    |   20.393  |  19 - 9 |  3   |
|  14  |   Michigan State  | 0.011 |   0.122   |   -0.147  |    0.269     |    80.549    |    61.544    |   19.005  |  23 - 5 |  3   |
|  15  |      Maryland     | 0.011 |   0.121   |   -0.148  |    0.269     |    80.451    |    61.473    |   18.978  |  21 - 7 |  3   |
|  16  |      Illinois     | 0.011 |   0.142   |   -0.126  |    0.268     |    82.184    |    62.844    |   19.339  | 18 - 11 |  3   |
|  17  |      Missouri     | 0.011 |   0.177   |   -0.089  |    0.266     |    85.128    |    65.232    |   19.895  |  21 - 7 |  3   |
|  18  |    Saint John's   | 0.011 |   0.072   |   -0.191  |    0.263     |    76.625    |    58.882    |   17.742  |  25 - 4 |  3   |
|  19  |       Purdue      | 0.011 |   0.168   |   -0.087  |    0.255     |    84.299    |    65.341    |   18.958  |  20 - 9 |  4   |
|  20  |      Michigan     | 0.011 |   0.112   |   -0.142  |    0.254     |    79.744    |    61.849    |   17.895  |  22 - 6 |  4   |
|  21  |    Saint Mary's   | 0.011 |   0.108   |   -0.146  |    0.253     |    79.387    |    61.612    |   17.775  |  26 - 4 |  4   |
|  22  |       Baylor      | 0.011 |   0.168   |   -0.074  |    0.242     |    84.307    |    66.211    |   18.096  | 16 - 12 |  4   |
|  23  |        UCLA       | 0.011 |   0.107   |   -0.133  |    0.240     |    79.358    |    62.413    |   16.945  |  20 - 9 |  4   |
|  24  |     Marquette     | 0.011 |   0.113   |   -0.125  |    0.238     |    79.796    |    62.898    |   16.897  |  21 - 7 |  4   |
|  25  |       UConn       | 0.011 |   0.163   |   -0.075  |    0.238     |    83.932    |    66.170    |   17.762  |  19 - 9 |  4   |
|  26  |      Clemson      | 0.011 |   0.134   |   -0.102  |    0.236     |    81.511    |    64.376    |   17.135  |  23 - 5 |  4   |
|  27  |     Louisville    | 0.011 |   0.120   |   -0.115  |    0.236     |    80.406    |    63.533    |   16.873  |  22 - 6 |  4   |
|  28  |        TAMU       | 0.011 |   0.086   |   -0.148  |    0.233     |    77.684    |    61.509    |   16.176  |  20 - 8 |  4   |
|  29  |     Creighton     | 0.011 |   0.111   |   -0.119  |    0.230     |    79.692    |    63.315    |   16.377  |  20 - 8 |  4   |
|  30  |     Ohio State    | 0.011 |   0.122   |   -0.108  |    0.230     |    80.510    |    63.971    |   16.539  | 16 - 13 |  4   |
|  31  |      Ole Miss     | 0.011 |   0.101   |   -0.129  |    0.230     |    78.887    |    62.684    |   16.203  |  19 - 9 |  4   |
|  32  | Mississippi State | 0.011 |   0.124   |   -0.092  |    0.216     |    80.696    |    65.005    |   15.691  |  19 - 9 |  4   |
|  33  |   West Virginia   | 0.011 |   0.064   |   -0.148  |    0.212     |    76.032    |    61.495    |   14.537  | 17 - 11 |  4   |
|  34  |       Oregon      | 0.011 |   0.108   |   -0.103  |    0.210     |    79.420    |    64.346    |   15.074  |  20 - 8 |  4   |
|  35  |      Georgia      | 0.011 |   0.092   |   -0.118  |    0.210     |    78.183    |    63.363    |   14.820  | 17 - 11 |  4   |
|  36  |  San Diego State  | 0.011 |   0.036   |   -0.160  |    0.196     |    73.915    |    60.757    |   13.158  |  19 - 7 |  5   |
|  37  |     Utah State    | 0.011 |   0.138   |   -0.047  |    0.186     |    81.880    |    68.017    |   13.863  |  24 - 5 |  5   |
|  38  |     New Mexico    | 0.011 |   0.066   |   -0.117  |    0.183     |    76.143    |    63.401    |   12.742  |  22 - 6 |  5   |
|  39  |      Memphis      | 0.011 |   0.087   |   -0.094  |    0.181     |    77.781    |    64.913    |   12.868  |  23 - 5 |  5   |
|  40  |      Oklahoma     | 0.011 |   0.115   |   -0.065  |    0.179     |    79.966    |    66.838    |   13.128  | 17 - 11 |  5   |
|  41  |   North Carolina  | 0.011 |   0.120   |   -0.059  |    0.179     |    80.389    |    67.192    |   13.197  | 18 - 11 |  5   |
|  42  |        Pitt       | 0.011 |   0.109   |   -0.067  |    0.177     |    79.538    |    66.651    |   12.887  | 16 - 12 |  5   |
|  43  |      Nebraska     | 0.011 |   0.063   |   -0.105  |    0.168     |    75.903    |    64.171    |   11.731  | 17 - 11 |  5   |
|  44  |   McNeese State   | 0.011 |   0.077   |   -0.064  |    0.141     |    77.018    |    66.890    |   10.128  |  23 - 6 |  6   |
|  45  |        Iowa       | 0.011 |   0.125   |   -0.009  |    0.134     |    80.796    |    70.670    |   10.126  | 15 - 14 |  6   |
|  46  |     UC-Irvine     | 0.011 |   -0.003  |   -0.135  |    0.132     |    71.081    |    62.296    |   8.786   |  24 - 5 |  6   |
|  47  |       Dayton      | 0.011 |   0.098   |   -0.014  |    0.113     |    78.668    |    70.283    |   8.385   |  19 - 9 |  6   |
|  48  |        Yale       | 0.011 |   0.078   |   -0.033  |    0.110     |    77.075    |    69.014    |   8.060   |  19 - 6 |  6   |
|  49  |      Bradley      | 0.011 |   0.067   |   -0.034  |    0.102     |    76.250    |    68.887    |   7.362   |  23 - 7 |  7   |
|  50  |      Lipscomb     | 0.011 |   0.050   |   -0.042  |    0.092     |    74.918    |    68.336    |   6.581   |  22 - 9 |  7   |
|  51  |     High Point    | 0.011 |   0.102   |   0.013   |    0.089     |    78.944    |    72.246    |   6.698   |  26 - 5 |  7   |
|  52  |    Saint Louis    | 0.011 |   0.027   |   -0.040  |    0.067     |    73.268    |    68.530    |   4.738   | 16 - 12 |  7   |
|  53  |       Akron       | 0.011 |   0.041   |   -0.015  |    0.056     |    74.263    |    70.199    |   4.064   |  23 - 6 |  7   |
|  54  |      Samford      | 0.011 |   0.038   |   -0.002  |    0.040     |    74.059    |    71.149    |   2.910   |  22 - 8 |  8   |
|  55  | Northern Colorado | 0.011 |   0.060   |   0.021   |    0.039     |    75.710    |    72.812    |   2.898   |  21 - 8 |  8   |
|  56  |    Utah Valley    | 0.011 |   -0.012  |   -0.048  |    0.035     |    70.430    |    67.977    |   2.453   |  20 - 7 |  8   |
|  57  |  New Mexico State | 0.011 |   -0.021  |   -0.042  |    0.021     |    69.814    |    68.369    |   1.445   | 15 - 13 |  8   |
|  58  |       Bryant      | 0.011 |   0.001   |   -0.017  |    0.019     |    71.394    |    70.083    |   1.311   | 18 - 11 |  8   |
|  59  |  Cleveland State  | 0.011 |   -0.030  |   -0.019  |    -0.011    |    69.180    |    69.950    |   -0.771  | 19 - 11 |  9   |
|  60  |   Nebraska-Omaha  | 0.011 |   0.030   |   0.042   |    -0.012    |    73.448    |    74.323    |   -0.876  | 18 - 12 |  9   |
|  61  |  William and Mary | 0.011 |   0.018   |   0.066   |    -0.048    |    72.615    |    76.171    |   -3.556  | 17 - 13 |  9   |
|  62  |       Marist      | 0.011 |   -0.064  |   -0.013  |    -0.051    |    66.871    |    70.359    |   -3.489  |  20 - 6 |  10  |
|  63  |      Southern     | 0.011 |   -0.079  |   -0.028  |    -0.052    |    65.867    |    69.352    |   -3.485  |  18 - 9 |  10  |
|  64  |      Colgate      | 0.011 |   -0.001  |   0.058   |    -0.059    |    71.195    |    75.557    |   -4.361  | 13 - 17 |  10  |
|  65  |    Long Island    | 0.011 |   -0.117  |   -0.012  |    -0.105    |    63.419    |    70.460    |   -7.041  | 15 - 15 |  11  |
|  66  |       Howard      | 0.011 |   -0.013  |   0.115   |    -0.128    |    70.358    |    79.964    |   -9.606  | 12 - 16 |  11  |
|  67  |    Old Dominion   | 0.011 |   -0.078  |   0.072   |    -0.150    |    65.950    |    76.637    |  -10.688  | 12 - 19 |  11  |
|  68  |   Morehead State  | 0.011 |   -0.095  |   0.060   |    -0.155    |    64.851    |    75.720    |  -10.869  | 14 - 16 |  12  |
+------+-------------------+-------+-----------+-----------+--------------+--------------+--------------+-----------+---------+------+
