Expected Points For Each Team Taking the Team With the Highest Victory Chance Each Round, Assuming They Have Made it that far
+-------------------+-------------+----------+---------+---------+--------------+--------+---------+
|        Team       | Round of 32 | Sweet 16 | Elite 8 | Final 4 | Championship | Winner |  Total  |
+-------------------+-------------+----------+---------+---------+--------------+--------+---------+
|        Duke       |    9.994    |  15.446  |  26.200 |  31.051 |    48.718    | 65.523 | 196.932 |
|       Auburn      |    9.983    |  16.294  |  25.580 |  41.679 |    61.646    | 0.000  | 155.182 |
|      Alabama      |    9.865    |  15.004  |  21.516 |  29.472 |    0.000     | 0.000  |  75.857 |
|      Florida      |    9.936    |  13.381  |  20.209 |  28.483 |    0.000     | 0.000  |  72.009 |
|      Houston      |    9.809    |  16.852  |  21.543 |  0.000  |    0.000     | 0.000  |  48.203 |
|     Iowa State    |    9.907    |  14.205  |  17.437 |  0.000  |    0.000     | 0.000  |  41.549 |
|       Kansas      |    9.726    |  10.944  |  13.269 |  0.000  |    0.000     | 0.000  |  33.938 |
|     Wisconsin     |    6.605    |  7.090   |  8.926  |  0.000  |    0.000     | 0.000  |  22.621 |
|     Tennessee     |    9.807    |  16.182  |  0.000  |  0.000  |    0.000     | 0.000  |  25.989 |
|   Michigan State  |    8.669    |  12.996  |  0.000  |  0.000  |    0.000     | 0.000  |  21.665 |
|      Gonzaga      |    8.918    |  11.105  |  0.000  |  0.000  |    0.000     | 0.000  |  20.023 |
|     Marquette     |    9.150    |  11.005  |  0.000  |  0.000  |    0.000     | 0.000  |  20.156 |
|      Illinois     |    7.850    |  10.651  |  0.000  |  0.000  |    0.000     | 0.000  |  18.501 |
|      Michigan     |    8.161    |  9.470   |  0.000  |  0.000  |    0.000     | 0.000  |  17.630 |
|      Missouri     |    6.977    |  9.464   |  0.000  |  0.000  |    0.000     | 0.000  |  16.441 |
|       Baylor      |    7.465    |  8.106   |  0.000  |  0.000  |    0.000     | 0.000  |  15.571 |
|        TAMU       |    9.468    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  9.468  |
|      Kentucky     |    9.217    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  9.217  |
|       Purdue      |    9.120    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  9.120  |
|       UConn       |    8.936    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  8.936  |
|       Oregon      |    8.554    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  8.554  |
| Mississippi State |    8.196    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  8.196  |
|      Memphis      |    6.895    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  6.895  |
|      Ole Miss     |    6.582    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  6.582  |
|      Arizona      |    6.538    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  6.538  |
|     Louisville    |    6.373    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  6.373  |
|   West Virginia   |    6.017    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  6.017  |
|      Georgia      |    5.769    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  5.769  |
|     Texas Tech    |    5.736    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  5.736  |
|    Saint John's   |    5.655    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  5.655  |
|  San Diego State  |    5.450    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  5.450  |
|    Saint Mary's   |    5.298    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  5.298  |
|        Yale       |    0.000    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.000  |
|  William and Mary |    0.000    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.000  |
|    Utah Valley    |    0.000    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.000  |
|     Utah State    |    0.000    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.000  |
|        UCLA       |    0.000    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.000  |
|     UC-Irvine     |    0.000    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.000  |
|      Southern     |    0.000    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.000  |
|      Samford      |    0.000    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.000  |
|    Saint Louis    |    0.000    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.000  |
|        Pitt       |    0.000    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.000  |
|    Old Dominion   |    0.000    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.000  |
|      Oklahoma     |    0.000    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.000  |
|     Ohio State    |    0.000    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.000  |
| Northern Colorado |    0.000    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.000  |
|   North Carolina  |    0.000    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.000  |
|  New Mexico State |    0.000    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.000  |
|     New Mexico    |    0.000    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.000  |
|   Nebraska-Omaha  |    0.000    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.000  |
|      Nebraska     |    0.000    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.000  |
|   Morehead State  |    0.000    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.000  |
|   McNeese State   |    0.000    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.000  |
|      Maryland     |    0.000    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.000  |
|       Marist      |    0.000    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.000  |
|    Long Island    |    0.000    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.000  |
|      Lipscomb     |    0.000    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.000  |
|        Iowa       |    0.000    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.000  |
|       Howard      |    0.000    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.000  |
|     High Point    |    0.000    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.000  |
|       Dayton      |    0.000    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.000  |
|     Creighton     |    0.000    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.000  |
|      Colgate      |    0.000    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.000  |
|  Cleveland State  |    0.000    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.000  |
|      Clemson      |    0.000    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.000  |
|       Bryant      |    0.000    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.000  |
|      Bradley      |    0.000    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.000  |
|       Akron       |    0.000    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.000  |
|       Total       |   256.627   | 198.195  | 154.679 | 130.684 |   110.364    | 65.523 | 916.072 |
+-------------------+-------------+----------+---------+---------+--------------+--------+---------+
