GameDay,GameID,TeamID,Team,OpponentID,Opponent,Location,Division,Conference,Playoffs,WinOrLoss,PlayerType,MIN,PTS,FGM,FGA,3FM,3FA,FTM,FTA,REB,AST,STL,BLK,OREB,TO,PF
11/4/2024,1259387,575,South Carolina Upstate,262,North Carolina State,V,,,,L,,194,66,21,63,3,21,21,27,0,5,7,1,16,16,0
11/4/2024,1259387,262,North Carolina State,575,South Carolina Upstate,H,,,,W,,194,97,38,68,9,27,12,21,0,20,9,8,15,11,0
11/4/2024,1259416,344,Alabama,496,UNC Asheville,H,,,,W,,194,110,38,60,8,18,26,37,0,21,5,6,14,10,0
11/4/2024,1259416,496,UNC Asheville,344,Alabama,V,,,,L,,195,54,20,73,6,26,8,14,0,8,6,2,13,8,0
11/4/2024,1259473,460,Indiana State,526,Florida Atlantic,N,,,,L,,191,64,21,64,13,37,9,14,0,15,11,1,6,21,0
11/4/2024,1259473,526,Florida Atlantic,460,Indiana State,N,,,,W,,196,97,34,61,11,23,18,27,0,18,15,6,7,16,0
11/4/2024,1259550,481,Utah,242,Alcorn State,H,,,,W,,194,100,32,57,19,38,17,25,0,29,10,2,10,10,0
11/4/2024,1259550,242,Alcorn State,481,Utah,V,,,,L,,195,59,20,55,3,11,16,22,0,9,7,1,13,14,0
11/4/2024,1259603,552,Gardner-Webb,309,Tennessee,V,,,,L,,193,64,24,55,6,23,10,15,0,8,6,2,7,14,0
11/4/2024,1259603,309,Tennessee,552,Gardner-Webb,H,,,,W,,196,80,28,55,8,23,16,21,0,16,9,2,7,10,0
11/4/2024,1259630,357,Clemson,461,Charleston Southern,H,,,,W,,191,91,32,65,11,21,16,24,0,16,9,6,11,7,0
11/4/2024,1259630,461,Charleston Southern,357,Clemson,V,,,,L,,196,64,20,50,11,25,13,27,0,13,5,0,10,17,0
11/4/2024,1259658,388,Illinois,447,Eastern Illinois,H,,,,W,,194,112,31,64,16,42,34,46,0,16,2,9,14,13,0
11/4/2024,1259658,447,Eastern Illinois,388,Illinois,V,,,,L,,195,67,26,68,4,12,11,25,0,5,5,1,3,7,0
11/4/2024,1259702,435,Gonzaga,448,Baylor,H,,,,W,,194,101,40,70,13,31,8,13,0,25,8,3,14,11,0
11/4/2024,1259702,448,Baylor,435,Gonzaga,V,,,,L,,197,63,23,62,3,21,14,20,0,11,8,4,13,11,0
11/4/2024,1259756,546,Stony Brook,462,Marquette,V,,,,L,,194,62,22,60,7,25,11,15,0,12,3,1,10,13,0
11/4/2024,1259756,462,Marquette,546,Stony Brook,H,,,,W,,194,102,40,68,9,31,13,17,0,22,10,2,10,7,0
11/4/2024,1259832,539,Elon,324,North Carolina,V,,,,L,,196,76,26,61,13,29,11,14,0,11,4,5,9,15,0
11/4/2024,1259832,324,North Carolina,539,Elon,H,,,,W,,196,90,32,80,13,32,13,16,0,22,11,7,15,6,0
11/4/2024,1259855,277,Mississippi Valley State,339,Iowa State,V,,,,L,,194,44,19,51,1,12,5,11,0,8,9,1,5,23,0
11/4/2024,1259855,339,Iowa State,277,Mississippi Valley State,H,,,,W,,194,83,28,59,5,21,22,29,0,16,16,6,11,12,0
