team,wins,losses,conference
Duke,25,3,ACC
Clemson,23,5,ACC
Louisville,22,6,ACC
SMU,21,7,ACC
Wake Forest,19,9,ACC
Stanford,18,10,ACC
North Carolina,18,11,ACC
Pitt,16,12,ACC
Florida State,16,12,ACC
Virginia,14,14,ACC
Georgia Tech,14,14,ACC
California,12,16,ACC
Notre Dame,12,16,ACC
Boston College,12,16,ACC
Syracuse,12,16,ACC
Virginia Tech,12,16,ACC
NC State,11,17,ACC
Miami,6,22,ACC
Bryant,17,11,America East
Vermont,17,11,America East
Massachusetts-Lowell,16,12,America East
Maine,16,12,America East
Binghamton,15,14,America East
Albany,14,14,America East
UMBC,13,16,America East
New Hampshire,8,21,America East
NJIT,5,23,America East
Memphis,23,5,American Athletic
North Texas,20,6,American Athletic
UAB,18,9,American Athletic
Wichita State,17,10,American Athletic
East Carolina,16,12,American Athletic
Tulane,16,12,American Athletic
FAU,15,12,American Athletic
Temple,15,14,American Athletic
Rice,13,16,American Athletic
South Florida,13,16,American Athletic
Tulsa,11,17,American Athletic
UTSA,10,17,American Athletic
Charlotte,10,18,American Athletic
Lipscomb,22,9,ASUN
North Alabama,22,9,ASUN
Jacksonville,18,12,ASUN
Queens (N.C.),18,13,ASUN
FGCU,18,13,ASUN
Eastern Kentucky,18,13,ASUN
North Florida,15,16,ASUN
Austin Peay,13,18,ASUN
Stetson,8,23,ASUN
Central Arkansas,8,23,ASUN
West Georgia,6,25,ASUN
Bellarmine,5,26,ASUN
VCU,23,5,Atlantic 10
George Mason,22,6,Atlantic 10
Dayton,19,9,Atlantic 10
Loyola-Chicago,19,9,Atlantic 10
Saint Bonaventure,19,10,Atlantic 10
Saint Joseph's,18,10,Atlantic 10
George Washington,18,11,Atlantic 10
Rhode Island,17,10,Atlantic 10
Davidson,16,12,Atlantic 10
Saint Louis,16,12,Atlantic 10
La Salle,12,16,Atlantic 10
Duquesne,12,16,Atlantic 10
Fordham,11,17,Atlantic 10
UMass,11,17,Atlantic 10
